iter	Passed	Remaining
431	1624	2136
432	1626	2130
433	1629	2125
434	1632	2120
435	1636	2117
436	1641	2115
437	1644	2110
438	1647	2104
439	1650	2100
440	1653	2095
441	1655	2089
442	1658	2085
443	1661	2080
444	1664	2075
445	1666	2070
446	1671	2067
447	1674	2062
448	1676	2057
449	1679	2052
450	1683	2048
451	1686	2044
452	1690	2041
453	1694	2037
454	1698	2033
455	1700	2028
456	1702	2023
457	1707	2020
458	1709	2015
459	1713	2011
460	1715	2006
461	1718	2001
462	1721	1996
463	1724	1991
464	1726	1986
465	1730	1982
466	1732	1977
467	1736	1973
468	1738	1968
469	1741	1963
470	1743	1958
471	1747	1955
472	1750	1950
473	1753	1946
474	1756	1940
475	1759	1936
476	1761	1931
477	1763	1926
478	1770	1925
479	1772	1920
480	1778	1918
481	1780	1913
482	1784	1910
483	1788	1906
484	1791	1902
485	1793	1896
486	1798	1894
487	1800	1888
488	1818	1900
489	1823	1897
490	1828	1895
491	1833	1892
492	1835	1887
493	1840	1884
494	1842	1880
495	1846	1876
496	1848	1871
497	1851	1866
498	1853	1861
499	1858	1858
500	1862	1855
501	1865	1850
502	1869	1847
503	1872	1842
504	1876	1839
505	1879	1835
506	1884	1832
507	1886	1827
508	1889	1822
509	1893	1819
510	1896	1814
511	1901	1812
512	1905	1808
513	1908	1804
514	1913	1802
515	1917	1798
516	1922	1795
517	1924	1790
518	1929	1788
519	1931	1783
520	1934	1778
521	1936	1773
522	1941	1771
523	1947	1769
524	1950	1764
525	1952	1759
526	1955	1755
527	1960	1752
528	1963	1748
529	1966	1743
530	1968	1739
531	1971	1734
532	1976	1732
533	1979	1727
534	1982	1723
535	1985	1718
536	1987	1713
537	1989	1708
538	1992	1704
539	1994	1699
540	1998	1695
541	2001	1690
542	2006	1688
543	2008	1683
544	2012	1679
545	2014	1674
546	2017	1670
547	2020	1666
548	2023	1662
549	2026	1658
550	2032	1656
551	2035	1651
552	2040	1649
553	2043	1645
554	2048	1642
555	2052	1638
556	2056	1635
557	2060	1631
558	2065	1629
559	2067	1624
560	2070	1620
561	2073	1616
562	2077	1612
563	2083	1610
564	2089	1608
565	2092	1604
566	2094	1599
567	2101	1598
568	2105	1594
569	2107	1590
570	2111	1586
571	2113	1581
572	2116	1577
573	2120	1573
574	2135	1578
575	2139	1575
576	2144	1572
577	2147	1568
578	2156	1567
579	2161	1564
580	2163	1560
581	2165	1555
582	2167	1550
583	2169	1545
584	2174	1542
585	2176	1537
586	2182	1535
587	2186	1532
588	2189	1527
589	2192	1523
590	2199	1521
591	2203	1518
592	2205	1514
593	2210	1510
594	2213	1506
595	2216	1502
596	2218	1497
597	2221	1493
598	2223	1488
599	2227	1485
600	2230	1480
601	2234	1477
602	2241	1475
603	2244	1471
604	2246	1467
605	2251	1463
606	2253	1459
607	2258	1456
608	2262	1452
609	2264	1448
610	2268	1444
611	2270	1439
612	2274	1435
613	2280	1433
614	2282	1429
615	2286	1425
616	2288	1420
617	2292	1417
618	2299	1415
619	2301	1410
620	2305	1407
621	2310	1404
622	2312	1399
623	2315	1394
624	2317	1390
625	2322	1387
626	2325	1383
627	2329	1379
628	2331	1374
629	2335	1371
630	2340	1368
631	2342	1363
632	2345	1360
633	2348	1355
634	2351	1351
635	2353	1347
636	2357	1343
637	2360	1339
638	2362	1334
639	2364	1330
640	2369	1326
641	2371	1322
642	2377	1320
643	2380	1315
644	2382	1311
645	2386	1307
646	2389	1303
647	2393	1300
648	2396	1295
649	2399	1292
650	2402	1288
651	2406	1284
652	2412	1281
653	2418	1279
654	2422	1276
655	2425	1271
656	2430	1268
657	2437	1266
658	2440	1262
659	2443	1258
660	2445	1254
661	2447	1249
662	2451	1246
663	2453	1241
664	2458	1238
665	2461	1234
666	2464	1230
667	2466	1225
668	2469	1222
669	2472	1217
670	2476	1214
671	2478	1209
672	2480	1205
673	2483	1201
674	2488	1198
675	2490	1193
676	2494	1190
677	2496	1185
678	2499	1181
679	2502	1177
680	2505	1173
681	2507	1169
682	2512	1165
683	2514	1161
684	2519	1158
685	2524	1155
686	2526	1150
687	2529	1146
688	2531	1142
689	2536	1139
690	2539	1135
691	2542	1131
692	2544	1127
693	2547	1123
694	2549	1118
695	2554	1115
696	2557	1112
697	2560	1107
698	2565	1104
699	2568	1100
700	2573	1097
701	2576	1093
702	2578	1089
703	2583	1086
704	2588	1083
705	2590	1078
706	2595	1075
707	2601	1072
708	2603	1068
709	2606	1064
710	2609	1060
711	2613	1057
712	2620	1054
713	2623	1050
714	2625	1046
715	2629	1043
716	2632	1039
717	2635	1034
718	2637	1030
719	2639	1026
720	2642	1022
721	2644	1018
722	2647	1014
723	2653	1011
724	2655	1007
725	2660	1004
726	2662	999
727	2665	996
728	2669	992
729	2674	989
730	2677	985
731	2679	981
732	2683	977
733	2685	973
734	2687	969
735	2690	964
736	2694	961
737	2697	957
738	2700	953
739	2702	949
740	2706	945
741	2708	941
742	2710	937
743	2715	934
744	2718	930
745	2724	927
746	2727	923
747	2732	920
748	2736	917
749	2739	913
750	2742	909
751	2745	905
752	2749	902
753	2754	898
754	2757	894
755	2759	890
756	2762	886
757	2770	884
758	2772	880
759	2774	876
760	2778	872
761	2780	868
762	2784	864
763	2786	860
764	2789	856
765	2791	852
766	2796	849
767	2801	846
768	2803	842
769	2810	839
770	2813	835
771	2815	831
772	2819	827
773	2821	823
774	2823	819
775	2826	815
776	2829	811
777	2832	808
778	2837	805
779	2839	801
780	2842	797
781	2845	793
782	2849	789
783	2851	785
784	2854	781
785	2856	777
786	2861	774
787	2864	770
788	2868	767
789	2872	763
790	2874	759
791	2878	756
792	2881	752
793	2886	748
794	2889	745
795	2891	741
796	2897	737
797	2902	734
798	2904	730
799	2909	727
800	2913	723
801	2915	719
802	2917	715
803	2920	711
804	2923	708
805	2926	704
806	2929	700
807	2931	696
808	2934	692
809	2936	688
810	2938	684
811	2943	681
812	2948	678
813	2950	674
814	2954	670
815	2959	667
816	2963	663
817	2965	659
818	2968	656
819	2973	652
820	2977	649
821	2980	645
822	2984	641
823	2986	637
824	2991	634
825	2995	631
826	2997	627
827	3002	623
828	3005	619
829	3008	616
830	3010	612
831	3012	608
832	3014	604
833	3017	600
834	3021	597
835	3026	593
836	3032	590
837	3036	586
838	3038	583
839	3040	579
840	3044	575
841	3047	571
842	3049	567
843	3052	564
844	3054	560
845	3056	556
846	3060	552
847	3062	548
848	3066	545
849	3068	541
850	3074	538
851	3079	534
852	3082	531
853	3084	527
854	3086	523
855	3090	519
856	3093	516
857	3096	512
858	3098	508
859	3104	505
860	3106	501
861	3109	497
862	3112	494
863	3123	491
864	3126	488
865	3129	484
866	3132	480
867	3135	476
868	3140	473
869	3143	469
870	3145	465
871	3149	462
872	3151	458
873	3154	454
874	3157	451
875	3161	447
876	3163	443
877	3167	440
878	3170	436
879	3174	432
880	3180	429
881	3182	425
882	3186	422
883	3194	419
884	3196	415
885	3198	411
886	3203	408
887	3205	404
888	3208	400
889	3211	396
890	3216	393
891	3221	390
892	3224	386
893	3226	382
894	3231	379
895	3238	375
896	3241	372
897	3244	368
898	3246	364
899	3249	361
900	3252	357
901	3257	353
902	3263	350
903	3267	346
904	3269	343
905	3272	339
906	3275	335
907	3281	332
908	3284	328
909	3286	325
910	3289	321
911	3292	317
912	3300	314
913	3303	310
914	3306	307
915	3309	303
916	3311	299
917	3315	296
918	3317	292
919	3320	288
920	3322	284
921	3324	281
922	3328	277
923	3338	274
924	3340	270
925	3344	267
926	3346	263
927	3350	259
928	3355	256
929	3358	252
930	3363	249
931	3365	245
932	3370	242
933	3373	238
934	3375	234
935	3378	230
936	3381	227
937	3386	223
938	3389	220
939	3392	216
940	3394	212
941	3398	209
942	3400	205
943	3405	202
944	3407	198
945	3411	194
946	3414	191
947	3416	187
948	3419	183
949	3422	180
950	3427	176
951	3430	172
952	3434	169
953	3437	165
954	3440	162
955	3442	158
956	3446	154
957	3448	151
958	3450	147
959	3454	143
960	3457	140
961	3460	136
962	3464	133
963	3468	129
964	3471	125
965	3476	122
966	3481	118
967	3483	115
968	3490	111
969	3493	108
970	3499	104
971	3505	100
972	3508	97
973	3510	93
974	3513	90
975	3515	86
976	3521	82
977	3526	79
978	3528	75
979	3533	72
980	3535	68
981	3537	64
982	3540	61
983	3543	57
984	3549	54
985	3551	50
986	3556	46
987	3558	43
988	3563	39
989	3566	36
990	3568	32
991	3571	28
992	3574	25
993	3582	21
994	3585	18
995	3587	14
996	3591	10
997	3593	7
998	3597	3
999	3599	0
