iter	Logloss
0	0.6883166769
1	0.6835630429
2	0.6798880441
3	0.6762014827
4	0.6734415848
5	0.6696662666
6	0.6660975581
7	0.661866656
8	0.6586511742
9	0.6548852387
10	0.6506264254
11	0.6474054941
12	0.6444451942
13	0.6412912215
14	0.6377475336
15	0.6347143991
16	0.631659798
17	0.6289325975
18	0.6263085596
19	0.6239940572
20	0.6217211137
21	0.6184586235
22	0.6157208555
23	0.6133084031
24	0.6111683816
25	0.608226705
26	0.6067212976
27	0.6046985603
28	0.6023777553
29	0.6004609765
30	0.5986327177
31	0.5960318998
32	0.5943098364
33	0.5919563815
34	0.5899228872
35	0.5870054257
36	0.5843502068
37	0.5824864074
38	0.5804605425
39	0.5783931661
40	0.5759334209
41	0.5744746427
42	0.5722348705
43	0.5703044441
44	0.5689024836
45	0.5667137952
46	0.5652669587
47	0.5633540183
48	0.5620220966
49	0.5607417326
50	0.5591054881
51	0.5568073818
52	0.5554505342
53	0.553713686
54	0.5525365794
55	0.5514123573
56	0.5499140106
57	0.5488423413
58	0.5468565189
59	0.5447182507
60	0.5426907273
61	0.541150869
62	0.5399186034
63	0.5387167605
64	0.5373728497
65	0.5364856602
66	0.5351910798
67	0.5336140698
68	0.532497714
69	0.5313608869
70	0.5301433113
71	0.5288491101
72	0.527383366
73	0.5259829693
74	0.5247338336
75	0.5238880608
76	0.5220163476
77	0.5206189837
78	0.5198627733
79	0.5190046796
80	0.5175305479
81	0.5163878447
82	0.515156195
83	0.5141685912
84	0.5132301757
85	0.5118988227
86	0.5105132583
87	0.5092092952
88	0.5077946823
89	0.5063034911
90	0.5049940785
91	0.5040529618
92	0.5027904629
93	0.5012818804
94	0.5005189884
95	0.499462957
96	0.4987905751
97	0.4976155062
98	0.4959647611
99	0.4947299365
100	0.4937263631
101	0.4926863013
102	0.4916733925
103	0.4907139369
104	0.4899750704
105	0.4892855816
106	0.4884649241
107	0.4869143563
108	0.4863190266
109	0.4858044926
110	0.4851079431
111	0.4839012193
112	0.4833520925
113	0.4825384957
114	0.4819859096
115	0.4809872645
116	0.480214658
117	0.4792929703
118	0.4786865045
119	0.4778898251
120	0.4771566924
121	0.4764730323
122	0.4756204356
123	0.4740398241
124	0.4732964557
125	0.4726161601
126	0.4718160689
127	0.4707347325
128	0.4700812109
129	0.4691947795
130	0.4685054803
131	0.467508399
132	0.4669132114
133	0.4662116388
134	0.4657380003
135	0.4647724791
136	0.4639401169
137	0.4633480096
138	0.4627194138
139	0.4618633104
140	0.4607148733
141	0.4602500015
142	0.4592531571
143	0.4585703974
144	0.4579294809
145	0.4571799521
146	0.456120651
147	0.4554926712
148	0.4549140693
149	0.4536642702
150	0.4529340282
151	0.4522397059
152	0.4515896436
153	0.4509483006
154	0.450495323
155	0.4491515545
156	0.4485868845
157	0.4477032016
158	0.446793266
159	0.446146426
160	0.4457094655
161	0.4448721276
162	0.4443221003
163	0.4437445883
164	0.442784801
165	0.4425725996
166	0.4416910965
167	0.4410922127
168	0.440484278
169	0.4397965425
170	0.4389062727
171	0.438383209
172	0.4378690068
173	0.4371909384
174	0.4359625111
175	0.4355092493
176	0.4345225459
177	0.433678858
178	0.4329851044
179	0.4322798356
180	0.4319668409
181	0.431425296
182	0.4306696542
183	0.4301205274
184	0.4294438333
185	0.4289129032
186	0.4282399527
187	0.4278104794
188	0.427258841
189	0.4265319161
190	0.4260179982
191	0.4252604135
192	0.4248522646
193	0.4244144037
194	0.4234750878
195	0.4229974687
196	0.4224118061
197	0.421950204
198	0.4213413215
199	0.4196674039
200	0.4192414846
201	0.4189950694
202	0.4183447228
203	0.4176982619
204	0.4169082642
205	0.4162624193
206	0.415891517
207	0.41524553
208	0.4147024688
209	0.4136998905
210	0.4131952606
211	0.4128373424
212	0.4122013068
213	0.4114931474
214	0.410564162
215	0.4096237562
216	0.4090561008
217	0.4084004941
218	0.4078025107
219	0.4072660837
220	0.4069373089
221	0.4064706364
222	0.4058744537
223	0.4052747644
224	0.4044036865
225	0.4036765721
226	0.4031963941
227	0.4027693849
228	0.401978392
229	0.4015701957
230	0.4011664065
231	0.4004928873
232	0.3997599442
233	0.3987776004
234	0.3980981578
235	0.39757789
236	0.3970900352
237	0.3967807841
238	0.3963852876
239	0.3961528517
240	0.3955353447
241	0.3951105627
242	0.3943449933
243	0.3937720305
244	0.3929640728
245	0.3925800442
246	0.3921296256
247	0.391597037
248	0.3910738074
249	0.3905479715
250	0.3900756599
251	0.3896611847
252	0.3889251614
253	0.388562315
